apm,apm_variance,error_rate,action_gap_mean,apm_vs_baseline,replay_id,player_id,window_idx,match_pct,fatigue_score,fatigue_binary
427.0,582.75,0.3454,0.1405,-0.0476,rep_00006,rep_00006_p0,0,0.0,0.1006,0
522.5,442.6875,0.2823,0.1148,0.1654,rep_00006,rep_00006_p0,1,0.132,0.0,0
539.5,771.6875,0.3299,0.1112,0.2033,rep_00006,rep_00006_p0,2,0.264,0.0153,0
484.5,183.1875,0.2972,0.1239,0.0807,rep_00006,rep_00006_p0,3,0.395,0.0,0
554.5,143.1875,0.2696,0.1082,0.2368,rep_00006,rep_00006_p0,4,0.527,0.0,0
656.0,174.0,0.311,0.0914,0.4632,rep_00006,rep_00006_p0,5,0.659,0.0,0
628.0,1404.5,0.285,0.0953,0.4007,rep_00006,rep_00006_p0,6,0.791,0.0,0
636.0,698.0,0.3436,0.0943,-0.0083,rep_00006,rep_00006_p1,0,0.0,0.0513,0
641.0,1027.25,0.248,0.0935,-0.0005,rep_00006,rep_00006_p1,1,0.132,0.0,0
740.0,669.5,0.2831,0.0811,0.1538,rep_00006,rep_00006_p1,2,0.264,0.0,0
830.5,16.1875,0.248,0.0722,0.295,rep_00006,rep_00006_p1,3,0.395,0.0,0
887.5,3651.6875,0.2744,0.0676,0.3838,rep_00006,rep_00006_p1,4,0.527,0.0,0
831.0,2052.75,0.2816,0.0717,0.2957,rep_00006,rep_00006_p1,5,0.659,0.0,0
935.5,1855.6875,0.2352,0.0641,0.4587,rep_00006,rep_00006_p1,6,0.791,0.0,0
551.0,8992.25,0.9991,0.106,0.0947,rep_00019,rep_00019_p0,0,0.0,0.0,0
461.5,722.1875,1.0,0.1284,-0.0831,rep_00019,rep_00019_p0,1,0.101,0.0634,0
566.0,1256.5,1.0,0.1042,0.1245,rep_00019,rep_00019_p0,2,0.202,0.0001,0
515.0,3164.75,1.0,0.1165,0.0232,rep_00019,rep_00019_p0,3,0.303,0.0001,0
577.5,2292.1875,1.0,0.1017,0.1474,rep_00019,rep_00019_p0,4,0.403,0.0001,0
623.5,925.1875,1.0,0.0953,0.2387,rep_00019,rep_00019_p0,5,0.504,0.0001,0
708.5,518.6875,1.0,0.0845,0.4076,rep_00019,rep_00019_p0,6,0.605,0.0001,0
609.0,3935.25,1.0,0.0979,0.2099,rep_00019,rep_00019_p0,7,0.706,0.0001,0
635.5,4635.1875,1.0,0.0932,0.2626,rep_00019,rep_00019_p0,8,0.807,0.0001,0
605.5,4833.6875,0.9992,0.0968,0.0982,rep_00019,rep_00019_p9,0,0.0,0.0,0
505.5,1031.6875,1.0,0.1172,-0.0831,rep_00019,rep_00019_p9,1,0.101,0.0642,0
